NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
102,서울특별시 동대문구 이문동,264-290,264,290,(264-290),월세,88.97,202605,11,"1,000",65,4,2002,천장산로7길 46-7,202605~202802,신규,-,,,연립다세대,연립다세대,2026-05
103,전남광주통합특별시 광산구 수완동,327-3,327,3,수완한국아델리움57트리니티2단지,전세,91.39,202605,10,"30,000",0,2,2022,하완길 86-1,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
104,서울특별시 송파구 마천동,148,148,0,(148-0),월세,87.21,202605,10,"8,000",100,3,1996,성내천로30길 3-13,202605~203005,신규,-,,,연립다세대,연립다세대,2026-05
105,서울특별시 용산구 후암동,259-9,259,9,(259-9),월세,87.35,202605,9,"10,000",90,2,2002,두텁바위로 75,202605~202805,갱신,-,"8,000",85.0,연립다세대,연립다세대,2026-05
106,서울특별시 관악구 신림동,354-33,354,33,조은아트빌(354-33),전세,100.66,202605,9,"30,000",0,4,2003,양지12길 5,202605~202805,갱신,-,"30,000",0.0,연립다세대,연립다세대,2026-05
107,경기도 안산시 단원구 와동,841-6,841,6,장미빌라(841-6),월세,88.35,202605,9,"3,000",80,3,1997,화정로안길 78-2,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
108,서울특별시 성북구 성북동,213-10,213,10,(213-10),전세,93.49,202605,9,"34,000",0,-1,1991,성북로27길 50,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
109,제주특별자치도 제주시 이호일동,1768-2,1768,2,파클리프,월세,97.3783,202605,9,0,100,2,2018,현사안길 27,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
110,제주특별자치도 서귀포시 대정읍 보성리,421,421,0,대경엘리시아3차,월세,99.0,202605,8,"1,500",125,1,2019,중산간서로 2432-2,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
111,서울특별시 강남구 논현동,230-2,230,2,뜨레빌빌라,전세,92.93,202605,8,"39,000",0,4,2002,봉은사로37길 29,202605~202805,갱신,사용,"39,000",0.0,연립다세대,연립다세대,2026-05
112,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,98.3953,202605,8,"2,000",250,2,2019,영어도시로 77-6,202606~202706,신규,-,,,연립다세대,연립다세대,2026-05
113,서울특별시 서초구 반포동,719-2,719,2,가원빌라,전세,95.82,202605,8,"57,800",0,2,1991,사평대로53길 93-11,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
114,제주특별자치도 서귀포시 대정읍 구억리,865,865,0,휴온아델리브더테라스,전세,99.0887,202605,8,"60,000",0,3,2024,중산간서로 2312,202605~202706,신규,-,,,연립다세대,연립다세대,2026-05
115,서울특별시 서초구 반포동,719-2,719,2,가원빌라,전세,95.82,202605,8,"57,800",0,2,1991,사평대로53길 93-11,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
116,서울특별시 마포구 연남동,229-69,229,69,퀸스빌,월세,87.39,202605,8,"3,000",160,2,2002,성미산로32길 21-1,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
117,서울특별시 강서구 화곡동,1132-8,1132,8,서일맨션,월세,92.63,202605,7,"5,000",65,1,1981,까치산로 170-10,202606~202805,신규,-,,,연립다세대,연립다세대,2026-05
