NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
124,전남광주통합특별시 목포시 상동,8**,12m미만,100.17,월세,202606,26,500,45,1996.0,백년대로307번길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
125,경기도 양주시 산북동,3**,8m미만,92.75,전세,202606,26,"22,000",0,2025.0,평화로1261번길,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
126,대구광역시 달서구 송현동,1***,12m미만,98.97,월세,202606,26,"1,000",50,1993.0,송현로2길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-06
127,서울특별시 도봉구 쌍문동,8*,12m미만,86.37,월세,202606,26,"1,500",80,1997.0,도봉로123길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
128,대구광역시 달서구 신당동,1***,8m미만,96.0,월세,202606,26,"2,000",50,1996.0,서당로9길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
129,경기도 안산시 상록구 본오동,8**,12m미만,94.24,전세,202606,26,"12,900",0,1996.0,샘골로7길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
130,경기도 안산시 단원구 대부북동,1***,8m미만,93.02,전세,202606,26,"8,000",0,1999.0,새방죽2길,202608~202708,신규,-,,,단독다가구,단독다가구,2026-06
131,경상북도 경산시 계양동,8**,25m미만,96.86,월세,202606,26,"2,000",100,2021.0,남매공원로2길,202606~202704,신규,-,,,단독다가구,단독다가구,2026-06
132,충청북도 청주시 흥덕구 송절동,7**,12m미만,98.28,전세,202606,26,"21,000",0,2018.0,송화로166번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
133,경상남도 창원시 의창구 소계동,7**,8m미만,98.88,월세,202606,26,300,15,1984.0,금강로355번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
134,서울특별시 강북구 미아동,1**,12m미만,98.68,월세,202606,26,"10,000",60,1973.0,도봉로,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
135,울산광역시 울주군 온산읍 덕신리,1***,12m미만,100.29,월세,202606,26,500,85,2011.0,서영남4길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-06
136,경상남도 함안군 함안면 괴산리,4**,8m미만,90.24,월세,202606,26,500,30,2017.0,괴산3길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
137,경기도 여주시 점동면 처리,3**,8m미만,86.61,월세,202606,26,"1,500",65,2020.0,처리길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-06
138,경기도 화성시 만세구 남양읍 남양리,6**,8m미만,96.66,전세,202606,26,"36,750",0,2022.0,한가울길260번길,202606~202806,갱신,사용,"35,000",0.0,단독다가구,단독다가구,2026-06
139,대구광역시 동구 신천동,4**,8m미만,91.18,월세,202606,26,"5,000",30,,효신로5길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
140,서울특별시 강남구 율현동,4**,25m미만,88.44,전세,202606,26,"65,000",0,,밤고개로27길,202607~202807,갱신,-,"65,000",0.0,단독다가구,단독다가구,2026-06
141,서울특별시 노원구 상계동,1**,8m미만,94.14,전세,202606,26,"17,850",0,,한글비석로44가길,202606~202806,갱신,사용,"17,000",0.0,단독다가구,단독다가구,2026-06
142,경기도 화성시 만세구 남양읍 남양리,2***,12m미만,98.72,월세,202606,25,"5,000",84,,시청로202번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
143,제주특별자치도 제주시 이호일동,3**,8m미만,94.69,월세,202606,25,500,90,2015.0,백포북길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
144,전남광주통합특별시 순천시 서면 청소리,7**,8m미만,99.24,전세,202606,25,"12,000",0,,정혜사길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-06
145,경기도 수원시 팔달구 신풍동,1**,8m미만,88.1,월세,202606,25,"1,000",100,1973.0,신풍로23번길,202607~203007,신규,-,,,단독다가구,단독다가구,2026-06
146,경기도 평택시 고덕동,2***,12m미만,90.0,월세,202606,25,500,210,2022.0,고덕여염10길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
147,충청북도 청주시 청원구 내덕동,1**,8m미만,99.0,월세,202606,25,200,80,2001.0,충청대로22번길,202606~202612,신규,-,,,단독다가구,단독다가구,2026-06
148,인천광역시 부평구 청천동,6*,25m미만,89.03,월세,202606,25,800,80,1979.0,청농로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
149,강원특별자치도 춘천시 퇴계동,8**,8m미만,90.03,월세,202606,25,"5,000",50,1995.0,춘주로193번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
150,울산광역시 중구 옥교동,3**,8m미만,85.48,월세,202606,25,"1,000",60,,옥교13길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
151,경상남도 김해시 외동,1***,25m미만,100.42,월세,202606,25,"1,000",30,1996.0,함박로45번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
152,서울특별시 은평구 응암동,1**,8m미만,100.95,전세,202606,25,"28,000",0,1998.0,은평로4길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
153,부산광역시 수영구 광안동,1**,8m미만,95.4,월세,202606,25,"1,000",65,1992.0,남천바다로21번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
154,전북특별자치도 전주시 완산구 효자동2가,1***,12m미만,88.56,월세,202606,25,"5,500",50,2009.0,봉곡3길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
155,전북특별자치도 전주시 완산구 효자동2가,1***,12m미만,88.56,월세,202606,25,"5,500",35,2009.0,봉곡3길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
