품목코드,품목명,Tier,가중치,모델,pred_2026-09
A016110,딸기,B,1.5,계절ETS,92.06319659999957
A016120,바나나,B,0.8,계절ETS,111.19203897747633
A016130,키위,B,0.4,계절ETS,146.69979544805372
A016140,블루베리,B,0.4,계절ETS,145.36155589571655
A016150,망고,B,0.4,계절ETS,143.14875112025823
A016160,체리,B,0.3,계절ETS,100.45112993604927
A016170,아보카도,B,0.1,계절ETS,82.97491596536088
A016180,파인애플,B,0.2,계절ETS,128.23575418441996
A017010,배추,B,1.3,계절ETS,131.70654963359107
A017020,상추,B,0.6,계절ETS,171.19955450535943
A017030,시금치,B,0.3,계절ETS,271.76387319968524
A017040,양배추,B,0.2,계절ETS,83.4458464444539
A017050,미나리,B,0.2,계절ETS,176.9942858379759
A017060,깻잎,B,0.2,계절ETS,148.74728641807872
A017070,부추,B,0.2,계절ETS,115.3876230458581
A017080,무,B,0.6,계절ETS,108.42356528656012
A017090,열무,B,0.2,계절ETS,154.337504833978
A017100,당근,B,0.3,계절ETS,91.9130474206382
A017110,감자,B,0.6,계절ETS,102.19040905430066
A017120,고구마,B,1.0,계절ETS,92.9036528861671
A017130,도라지,B,0.1,계절ETS,133.66050911901334
A017140,콩나물,B,0.5,계절ETS,109.0413775938652
A017150,버섯,B,0.9,계절ETS,120.34034324244632
A017160,오이,B,0.6,계절ETS,130.7374723950393
A017170,풋고추,B,0.6,계절ETS,129.56047284288806
A017180,호박,B,0.5,계절ETS,131.5984125391035
A017190,가지,B,0.2,계절ETS,102.75321917855054
A017200,토마토,B,1.3,계절ETS,106.07324126340707
A017210,파,B,0.9,계절ETS,127.82811630130874
A017220,양파,B,0.7,계절ETS,92.04597702866312
A017230,마늘,B,1.3,계절ETS,140.32156917956314
A017240,브로콜리,B,0.2,계절ETS,146.28413091808645
A017260,파프리카,B,0.6,계절ETS,129.2169721997506
A019030,생강,B,0.1,계절ETS,107.92101163540332
B021010,담배,C,9.3,비계절ETS,99.84655562469653
D041020,하수도료,C,3.1,비계절ETS,133.30407350084852
D042020,쓰레기봉투료,C,0.7,비계절ETS,106.15062943777868
D042030,정화조청소료,C,0.5,비계절ETS,117.46850646134578
F021010,외래진료비,C,20.5,계절ETS,111.41887329447603
F021030,한방진료비,C,1.0,계절ETS,119.29859867455615
F021040,약국조제료,C,1.8,계절ETS,119.9036649404177
F022010,치과진료비,C,6.1,계절ETS,115.26748923712277
F031010,입원진료비,C,10.2,계절ETS,110.10571074648527
G023030,도로통행료,C,1.7,비계절ETS,95.82607042832939
G031010,열차료,C,1.7,비계절ETS,100.00768129996005
G031020,도시철도료,C,2.2,비계절ETS,120.17678080580646
G032010,시내버스료,C,6.8,비계절ETS,117.04687843599574
G032020,시외버스료,C,1.0,비계절ETS,110.24826459785473
G032030,택시료,C,3.2,비계절ETS,124.511696523402
G033020,국제항공료,C,2.9,비계절ETS,145.2988647208224
H011010,우편료,C,0.1,비계절ETS,123.69931699887567
H031010,유선전화료,C,0.4,비계절ETS,100.36999631119606
H031020,휴대전화료,C,29.8,비계절ETS,102.02235721297885
H031030,인터넷이용료,C,5.5,비계절ETS,100.61997513147546
I042070,방송수신료,C,2.4,비계절ETS,100.59424817719228
J011010,유치원납입금,C,1.8,비계절ETS,39.31119698097886
J031010,전문대학납입금,C,1.1,계절ETS,108.56482244093083
J031020,국공립대학교납입금,C,1.4,계절ETS,101.51877147830884
J031030,사립대학교납입금,C,8.6,계절ETS,107.68689510891261
J031040,국공립대학원납입금,C,0.4,계절ETS,107.66806624272193
J031050,사립대학원납입금,C,1.6,계절ETS,108.72564819891504
L031020,보육시설이용료,C,0.7,비계절ETS,69.20234204142909
L031030,요양시설이용료,C,0.9,비계절ETS,125.40645273058647
L031070,부동산중개수수료,C,0.8,비계절ETS,92.25348767735932
L031080,행정수수료,C,1.1,비계절ETS,99.58454640375476
D051010,전기료,D,16.1,비계절ETS,126.48327374966844
D052010,도시가스,D,11.5,비계절ETS,146.50813932477257
D052020,취사용LPG,D,0.9,회귀변수없음->드리프트,147.70666666666665
D053010,등유,D,2.4,회귀(오피넷 9월실측),182.62899005210693
D053020,지역난방비,D,1.6,비계절ETS,163.20697175353814
D053030,부탄가스,D,0.1,비계절ETS,151.54725349737532
G021010,휘발유,D,24.1,회귀(오피넷 9월실측),134.08713702119036
G021020,경유,D,16.3,회귀(오피넷 9월실측),154.25088472739304
