품목명,Tier,가중치,MAPE%,방향적중률
목욕료,A,0.6,0.16331064080358973,0.8333333333333334
찜질방이용료,A,0.6,0.26921631379930394,0.6666666666666666
이발료,A,0.3,0.1325941859397165,1.0
미용료,A,7.3,0.1464107456062913,0.6666666666666666
뷰티미용료,A,2.2,0.17259712129056506,0.8333333333333334
면도기,A,0.4,0.9403043369784175,0.5
헤어드라이어,A,0.7,2.65890264522847,0.16666666666666666
칫솔,A,0.4,1.269617453897729,0.6666666666666666
치약,A,0.5,2.309926304932726,0.3333333333333333
비누,A,0.3,0.991627752343409,0.0
샴푸,A,1.0,0.7725780494030356,0.5
바디워시,A,0.5,1.3559884713202277,0.16666666666666666
화장지,A,1.3,0.7392610137005992,0.6666666666666666
기초화장품,A,4.5,0.8378216442552284,0.5
기능성화장품,A,3.7,0.3739015712455745,0.3333333333333333
색조화장품,A,0.7,0.30479212053398136,0.3333333333333333
모발염색약,A,0.7,3.6219145370532106,0.16666666666666666
구강세정제,A,0.2,1.9911024851375458,0.3333333333333333
손목시계,A,0.6,1.2605847267728618,0.0
장신구,A,1.0,0.4361380508956071,0.0
가방,A,2.7,0.21782441065212765,0.0
핸드백,A,1.4,2.8732261660998435,0.0
우산,A,0.2,0.2797513347403532,0.8333333333333334
유모차,A,0.2,0.29082512923816284,0.5
선글라스,A,0.4,0.3142801424692966,0.16666666666666666
지갑,A,0.5,2.432009104308597e-07,0.0
산후조리원이용료,A,0.7,0.2909604426465036,1.0
보험서비스료,A,8.6,2.0341685607296927,0.16666666666666666
자동차보험료,A,3.7,0.2088661212690683,0.16666666666666666
금융수수료,A,0.2,0.0007996269981508217,0.0
대입전형료,A,0.1,0.0941003856918172,0.0
시험응시료,A,0.4,0.1135958254097732,0.0
장례비,A,2.6,0.2523259579598676,0.6666666666666666
갈치,B,1.1,2.3703002668956836,0.16666666666666666
명태,B,0.7,0.9105425619603827,0.6666666666666666
조기,B,0.9,0.6775563123820858,0.3333333333333333
고등어,B,2.0,1.45831776352812,0.3333333333333333
오징어,B,1.0,1.7288276648455219,0.3333333333333333
게,B,0.9,1.3769274894236498,0.5
굴,B,0.4,1.8783882803410086,0.6666666666666666
조개,B,0.6,1.2002703447378826,0.3333333333333333
전복,B,0.5,2.0808556037981587,0.3333333333333333
새우,B,0.7,0.5211636040409372,0.8333333333333334
낙지,B,0.5,0.7484648629936712,0.5
사과,B,2.3,0.8278770066418825,0.8333333333333334
배,B,0.7,3.0181401934479117,0.6666666666666666
복숭아,B,1.0,1.3450767831297739,1.0
포도,B,1.4,1.0786135017627092,0.8333333333333334
밤,B,0.2,1.5673324257928198,0.3333333333333333
감,B,0.5,1.4022183538960646,0.3333333333333333
귤,B,1.8,2.0942732314343036,0.6666666666666666
오렌지,B,0.4,2.952540041317683,0.8333333333333334
참외,B,1.0,7.442642862605644,0.8333333333333334
수박,B,1.0,3.2526979166209053,1.0
딸기,B,1.5,6.094713647765987,1.0
바나나,B,0.8,1.7102081415287966,0.8333333333333334
키위,B,0.4,2.2790449036971774,0.6666666666666666
블루베리,B,0.4,0.5865102488219941,0.5
망고,B,0.4,5.144568673820834,0.8333333333333334
체리,B,0.3,9.296366431757416,0.6666666666666666
아보카도,B,0.1,5.466140851582561,0.5
파인애플,B,0.2,3.0570748669648427,0.5
배추,B,1.3,9.176418071437231,0.6666666666666666
상추,B,0.6,10.594757691868443,0.8333333333333334
