월,분류,방식,예측,실제,오차,오차%,채택,가중치
2025-05,02 주류 및 담배,바텀업,104.87903710885136,104.75,0.1290371088513495,0.1231857841063003,바텀업,15.8
2025-05,03 의류 및 신발,바텀업,115.88723633836088,116.23,-0.3427636616391254,-0.2949011973149147,바텀업,49.6
2025-05,05 가정용품 및 가사 서비스,바텀업,118.14319142934218,118.15,-0.0068085706578244,-0.0057626497315484,바텀업,45.6
2025-05,07 교통,바텀업,114.93260488315158,114.28,0.6526048831515823,0.5710578256489169,바텀업,110.60000000000001
2025-05,08 통신,바텀업,101.24383793524144,101.34,-0.0961620647585732,-0.0948905316346686,바텀업,46.6
2025-05,10 교육,바텀업,109.04281761665254,108.74,0.3028176166525469,0.2784785880564162,바텀업,73.9
2025-05,11 음식 및 숙박,바텀업,124.22623592795333,124.35,-0.1237640720466828,-0.0995288074360135,바텀업,144.7
2025-05,12 기타 상품 및 서비스,바텀업,125.01738877618774,124.94,0.077388776187746,0.0619407525114023,바텀업,52.7
2025-06,"04 주택, 수도, 전기 및 연료",탑다운,116.53085976570608,116.56,-0.0291402342939193,-0.0250002010071373,탑다운,171.6
2025-06,06 보건,탑다운,105.58943918957512,105.54,0.0494391895751107,0.0468440302966749,탑다운,84.0
2025-06,09 오락 및 문화,탑다운,109.5064200122774,109.49,0.0164200122774076,0.0149968145743059,탑다운,62.9
2025-06,01 식료품 및 비주류음료,바텀업,123.80100506966998,124.74,-0.9389949303300114,-0.7527616885762477,바텀업,142.0
2025-06,02 주류 및 담배,바텀업,104.88933599201329,104.87,0.0193359920132678,0.018438058561331,바텀업,15.8
2025-06,03 의류 및 신발,바텀업,116.18274650269724,116.46,-0.2772534973027518,-0.2380675745343911,바텀업,49.6
2025-06,05 가정용품 및 가사 서비스,바텀업,118.2955961856483,119.41,-1.1144038143517037,-0.9332583655905734,바텀업,45.6
2025-06,07 교통,바텀업,114.8241213019011,114.15,0.6741213019010956,0.5905574261069607,바텀업,110.60000000000001
2025-06,08 통신,바텀업,101.2408432716734,101.34,-0.099156728326605,-0.0978455973224837,바텀업,46.6
2025-06,10 교육,바텀업,109.19042970421852,108.85,0.3404297042185362,0.3127512211470246,바텀업,73.9
2025-06,11 음식 및 숙박,바텀업,124.50857591992902,124.39,0.1185759199290146,0.0953259264643577,바텀업,144.7
2025-06,12 기타 상품 및 서비스,바텀업,125.2431296121707,124.93,0.3131296121706981,0.2506440504047851,바텀업,52.7
2025-07,"04 주택, 수도, 전기 및 연료",탑다운,115.3547331641716,115.16,0.194733164171609,0.1690979195654819,탑다운,171.6
2025-07,06 보건,탑다운,105.31781302968976,105.5,-0.182186970310255,-0.1726890713841279,탑다운,84.0
2025-07,09 오락 및 문화,탑다운,110.3672638391364,110.16,0.2072638391364165,0.18814800212093,탑다운,62.9
2025-07,01 식료품 및 비주류음료,바텀업,124.93948369684075,125.75,-0.8105163031592326,-0.6445457679198668,바텀업,142.0
2025-07,02 주류 및 담배,바텀업,104.964072068512,104.88,0.0840720685120004,0.0801602483905419,바텀업,15.8
2025-07,03 의류 및 신발,바텀업,116.40376349697095,116.46,-0.0562365030290408,-0.0482882560785169,바텀업,49.6
2025-07,05 가정용품 및 가사 서비스,바텀업,119.58227583004026,119.32,0.2622758300402665,0.2198087747571795,바텀업,45.6
2025-07,07 교통,바텀업,115.6283969750587,115.82,-0.191603024941287,-0.1654317259033733,바텀업,110.60000000000001
2025-07,08 통신,바텀업,101.23977268341604,101.35,-0.1102273165839591,-0.1087590691504283,바텀업,46.6
2025-07,10 교육,바텀업,109.32201894779988,108.9,0.4220189477998701,0.3875288776858311,바텀업,73.9
2025-07,11 음식 및 숙박,바텀업,124.75122925024876,125.15,-0.398770749751236,-0.3186342387145314,바텀업,144.7
2025-07,12 기타 상품 및 서비스,바텀업,125.30856348800005,124.98,0.3285634880000287,0.262892853256544,바텀업,52.7
2025-08,"04 주택, 수도, 전기 및 연료",탑다운,115.7407627010563,115.37,0.370762701056293,0.3213683809103693,탑다운,171.6
2025-08,06 보건,탑다운,105.54829390423376,105.56,-0.0117060957662289,-0.0110895185356469,탑다운,84.0
2025-08,09 오락 및 문화,탑다운,110.40235493288688,110.38,0.0223549328868841,0.0202527023798552,탑다운,62.9
2025-08,01 식료품 및 비주류음료,바텀업,127.4191666321404,128.96,-1.540833367859619,-1.1948149564668264,바텀업,142.0
2025-08,02 주류 및 담배,바텀업,104.9513365541616,104.91,0.041336554161603,0.0394019198947698,바텀업,15.8
2025-08,03 의류 및 신발,바텀업,116.42422610269062,116.48,-0.055773897309379,-0.0478828101900576,바텀업,49.6
2025-08,05 가정용품 및 가사 서비스,바텀업,119.671461313263,119.67,0.0014613132629932,0.0012211191301021,바텀업,45.6
2025-08,07 교통,바텀업,116.18693789502736,116.27,-0.0830621049726403,-0.071438982517107,바텀업,110.60000000000001
2025-08,08 통신,바텀업,101.24676321283695,87.87,13.376763212836948,15.223356336448102,바텀업,46.6
2025-08,10 교육,바텀업,109.35914098227992,108.93,0.4291409822799039,0.3939603252363021,바텀업,73.9
2025-08,11 음식 및 숙박,바텀업,125.39630305591224,125.46,-0.0636969440877663,-0.050770719024204,바텀업,144.7
2025-08,12 기타 상품 및 서비스,바텀업,125.18661604801676,124.93,0.2566160480167667,0.2054078668188319,바텀업,52.7
2025-09,"04 주택, 수도, 전기 및 연료",탑다운,116.8705001836094,116.71,0.1605001836094146,0.1375205069055048,탑다운,171.6
2025-09,06 보건,탑다운,105.57084500626576,105.49,0.0808450062657755,0.0766376019203484,탑다운,84.0
2025-09,09 오락 및 문화,탑다운,109.78325184328295,109.58,0.2032518432829562,0.1854826093109657,탑다운,62.9
2025-09,01 식료품 및 비주류음료,바텀업,130.0765702926752,128.82,1.2565702926752067,0.9754465864580086,바텀업,142.0
2025-09,02 주류 및 담배,바텀업,104.94822717429324,105.05,-0.101772825706746,-0.0968803671649177,바텀업,15.8
2025-09,03 의류 및 신발,바텀업,116.45258704230896,116.48,-0.0274129576910553,-0.0235344760397109,바텀업,49.6
2025-09,05 가정용품 및 가사 서비스,바텀업,119.98619557072058,118.69,1.2961955707205846,1.0920849024522576,바텀업,45.6
2025-09,07 교통,바텀업,116.1014484416747,115.21,0.8914484416747115,0.7737596056546406,바텀업,110.60000000000001
2025-09,08 통신,바텀업,94.07632878814988,101.38,-7.30367121185013,-7.204252526977836,바텀업,46.6
2025-09,10 교육,바텀업,109.3366345376879,108.61,0.7266345376879002,0.6690309710780777,바텀업,73.9
2025-09,11 음식 및 숙박,바텀업,125.44693723769876,125.05,0.396937237698765,0.3174228210305997,바텀업,144.7
2025-09,12 기타 상품 및 서비스,바텀업,125.1766002323198,125.17,0.0066002323197977,0.005273014556042,바텀업,52.7
2025-10,"04 주택, 수도, 전기 및 연료",탑다운,117.21355673595772,116.94,0.2735567359577118,0.2339291396936136,탑다운,171.6
2025-10,06 보건,탑다운,105.4632262705565,105.6,-0.1367737294434903,-0.1295205771245173,탑다운,84.0
2025-10,09 오락 및 문화,탑다운,109.50905262681144,110.99,-1.480947373188542,-1.3343070305329687,탑다운,62.9
2025-10,01 식료품 및 비주류음료,바텀업,127.91166735575857,128.88,-0.9683326442414284,-0.7513443856621884,바텀업,142.0
2025-10,02 주류 및 담배,바텀업,105.00372343415438,105.1,-0.0962765658456135,-0.091604724876892,바텀업,15.8
2025-10,03 의류 및 신발,바텀업,116.4426109457902,117.24,-0.7973890542097877,-0.680133959578461,바텀업,49.6
2025-10,05 가정용품 및 가사 서비스,바텀업,119.24003166619308,118.03,1.210031666193089,1.0251899230645505,바텀업,45.6
2025-10,07 교통,바텀업,115.86038858878888,116.4,-0.5396114112111263,-0.4635836866074967,바텀업,110.60000000000001
2025-10,08 통신,바텀업,97.87874079027463,101.73,-3.85125920972537,-3.785765467143783,바텀업,46.6
2025-10,10 교육,바텀업,108.97649102115103,108.5,0.4764910211510482,0.4391622314756205,바텀업,73.9
2025-10,11 음식 및 숙박,바텀업,125.307138571452,125.52,-0.2128614285480097,-0.1695836747514418,바텀업,144.7
2025-10,12 기타 상품 및 서비스,바텀업,125.3277415735078,125.26,0.0677415735078028,0.0540807708029721,바텀업,52.7
2025-11,"04 주택, 수도, 전기 및 연료",탑다운,116.73607161121656,116.89,-0.1539283887834415,-0.1316865333077607,탑다운,171.6
2025-11,06 보건,탑다운,105.55401982510348,105.66,-0.1059801748965156,-0.1003030237521443,탑다운,84.0
2025-11,09 오락 및 문화,탑다운,110.26356474440792,109.66,0.6035647444079331,0.5503964475724358,탑다운,62.9
2025-11,01 식료품 및 비주류음료,바텀업,126.50560328029206,127.08,-0.5743967197079343,-0.4519961596694478,바텀업,142.0
2025-11,02 주류 및 담배,바텀업,104.995923191072,104.87,0.1259231910720046,0.1200755135615568,바텀업,15.8
2025-11,03 의류 및 신발,바텀업,117.19241214448697,118.17,-0.9775878555130504,-0.8272724511407721,바텀업,49.6
2025-11,05 가정용품 및 가사 서비스,바텀업,118.66055434791528,118.19,0.4705543479152823,0.3981338082031324,바텀업,45.6
2025-11,07 교통,바텀업,118.39338172804844,117.31,1.083381728048451,0.9235203546572764,바텀업,110.60000000000001
2025-11,08 통신,바텀업,99.53039223514564,101.73,-2.199607764854377,-2.162201675861965,바텀업,46.6
2025-11,10 교육,바텀업,108.84881711960747,108.44,0.4088171196074768,0.3769984503942058,바텀업,73.9
2025-11,11 음식 및 숙박,바텀업,125.61179416897494,125.4,0.2117941689749329,0.1688948715908556,바텀업,144.7
2025-11,12 기타 상품 및 서비스,바텀업,125.44940739152392,125.23,0.2194073915239158,0.1752035387079101,바텀업,52.7
2025-12,"04 주택, 수도, 전기 및 연료",탑다운,116.72749986976864,117.12,-0.3925001302313688,-0.3351264773150348,탑다운,171.6
2025-12,06 보건,탑다운,105.62907431991968,105.57,0.0590743199196737,0.0559574878466171,탑다운,84.0
2025-12,09 오락 및 문화,탑다운,110.0057086641078,109.93,0.0757086641077791,0.06886988456998,탑다운,62.9
2025-12,01 식료품 및 비주류음료,바텀업,127.5741909135358,128.01,-0.4358090864641895,-0.3404492512023979,바텀업,142.0
2025-12,02 주류 및 담배,바텀업,104.99435657132764,104.63,0.3643565713276331,0.3482333664605114,바텀업,15.8
2025-12,03 의류 및 신발,바텀업,118.11624156802984,118.19,-0.0737584319701625,-0.0624066604367226,바텀업,49.6
2025-12,05 가정용품 및 가사 서비스,바텀업,118.52330495300907,118.98,-0.4566950469909301,-0.3838418616497983,바텀업,45.6
2025-12,07 교통,바텀업,118.96757711241622,117.99,0.9775771124162276,0.8285253940301953,바텀업,110.60000000000001
2025-12,08 통신,바텀업,100.35714950806376,101.75,-1.3928504919362297,-1.368894832369759,바텀업,46.6
2025-12,10 교육,바텀업,108.7578983650979,108.48,0.2778983650978972,0.2561747465872946,바텀업,73.9
2025-12,11 음식 및 숙박,바텀업,125.74369745918057,125.84,-0.0963025408194511,-0.0765277660675867,바텀업,144.7
2025-12,12 기타 상품 및 서비스,바텀업,125.50068287422935,125.57,-0.0693171257706239,-0.0552019795895707,바텀업,52.7
2026-01,"04 주택, 수도, 전기 및 연료",탑다운,117.10811405974516,117.36,-0.2518859402548514,-0.2146267384584624,탑다운,171.6
2026-01,06 보건,탑다운,106.649342771847,106.63,0.0193427718469934,0.0181400842605208,탑다운,84.0
2026-01,09 오락 및 문화,탑다운,110.40139621026754,110.57,-0.1686037897324581,-0.152486017665242,탑다운,62.9
2026-01,01 식료품 및 비주류음료,바텀업,129.12042870448727,128.75,0.3704287044872671,0.2877116151357414,바텀업,142.0
2026-01,02 주류 및 담배,바텀업,104.89404707706956,105.08,-0.1859529229304399,-0.1769631927392843,바텀업,15.8
2026-01,03 의류 및 신발,바텀업,118.15665967620912,118.24,-0.083340323790864,-0.0704840356823952,바텀업,49.6
2026-01,05 가정용품 및 가사 서비스,바텀업,119.30851999625727,119.56,-0.2514800037427278,-0.2103379087844829,바텀업,45.6
2026-01,07 교통,바텀업,117.64507345770907,116.94,0.7050734577090765,0.6029360849231028,바텀업,110.60000000000001
2026-01,08 통신,바텀업,100.86467925264452,101.76,-0.8953207473554841,-0.8798356400899018,바텀업,46.6
2026-01,10 교육,바텀업,108.79349990403048,108.83,-0.0365000959695152,-0.0335386345396629,바텀업,73.9
2026-01,11 음식 및 숙박,바텀업,126.07632088723383,126.1,-0.0236791127661604,-0.0187780434307378,바텀업,144.7
2026-01,12 기타 상품 및 서비스,바텀업,125.68114995106606,129.1,-3.4188500489339333,-2.6482184732253558,바텀업,52.7
2026-02,"04 주택, 수도, 전기 및 연료",탑다운,117.70359645477254,117.83,-0.1264035452274612,-0.1072761989539686,탑다운,171.6
2026-02,06 보건,탑다운,106.63151256533952,106.41,0.2215125653395233,0.2081689365092786,탑다운,84.0
2026-02,09 오락 및 문화,탑다운,110.57867433801798,112.17,-1.591325661982026,-1.4186731407524529,탑다운,62.9
2026-02,01 식료품 및 비주류음료,바텀업,129.28670880365576,129.12,0.1667088036557515,0.1291115269948509,바텀업,142.0
2026-02,02 주류 및 담배,바텀업,104.98551066526952,105.33,-0.3444893347304685,-0.327057186680403,바텀업,15.8
2026-02,03 의류 및 신발,바텀업,118.21137745512937,118.28,-0.0686225448706494,-0.0580170315105254,바텀업,49.6
2026-02,05 가정용품 및 가사 서비스,바텀업,119.93050533509609,119.48,0.4505053350960821,0.3770550176565803,바텀업,45.6
2026-02,07 교통,바텀업,117.3189256462095,117.42,-0.1010743537905085,-0.0860793338362362,바텀업,110.60000000000001
2026-02,08 통신,바텀업,101.1808665413552,101.78,-0.5991334586448147,-0.588655392655546,바텀업,46.6
2026-02,10 교육,바텀업,109.1366718621426,109.07,0.0666718621426127,0.0611275897520975,바텀업,73.9
2026-02,11 음식 및 숙박,바텀업,126.3427794029284,126.59,-0.2472205970716174,-0.1952923588526877,바텀업,144.7
2026-02,12 기타 상품 및 서비스,바텀업,128.62124095074583,129.38,-0.7587590492541665,-0.5864577595100993,바텀업,52.7
