품목코드,품목명,Tier,가중치,변동횟수,최다월,최다월횟수,집중도
A016130,키위,B,0.4,255,3,22,0.08627450980392157
A016140,블루베리,B,0.4,139,2,12,0.08633093525179857
A016150,망고,B,0.4,79,2,7,0.08860759493670886
A016160,체리,B,0.3,79,2,7,0.08860759493670886
A016170,아보카도,B,0.1,79,2,7,0.08860759493670886
A016180,파인애플,B,0.2,79,2,7,0.08860759493670886
A017010,배추,B,1.3,314,3,27,0.08598726114649681
A017020,상추,B,0.6,319,2,27,0.08463949843260188
A017030,시금치,B,0.3,314,2,27,0.08598726114649681
A017040,양배추,B,0.2,318,2,27,0.08490566037735849
A017050,미나리,B,0.2,319,2,27,0.08463949843260188
A017060,깻잎,B,0.2,318,2,27,0.08490566037735849
A017070,부추,B,0.2,318,2,27,0.08490566037735849
A017080,무,B,0.6,313,3,27,0.08626198083067092
A017090,열무,B,0.2,259,4,27,0.10424710424710425
A017100,당근,B,0.3,318,2,27,0.08490566037735849
A017110,감자,B,0.6,318,2,27,0.08490566037735849
A017120,고구마,B,1.0,305,2,27,0.08852459016393442
A017130,도라지,B,0.1,312,2,27,0.08653846153846154
A017140,콩나물,B,0.5,309,6,27,0.08737864077669903
A017150,버섯,B,0.9,319,2,27,0.08463949843260188
A017160,오이,B,0.6,318,2,27,0.08490566037735849
A017170,풋고추,B,0.6,319,2,27,0.08463949843260188
A017180,호박,B,0.5,319,2,27,0.08463949843260188
A017190,가지,B,0.2,251,5,27,0.10756972111553785
A017200,토마토,B,1.3,293,2,27,0.09215017064846416
A017210,파,B,0.9,319,2,27,0.08463949843260188
A017220,양파,B,0.7,318,2,27,0.08490566037735849
A017230,마늘,B,1.3,316,4,27,0.08544303797468354
A017240,브로콜리,B,0.2,259,2,22,0.08494208494208494
A017260,파프리카,B,0.6,139,2,12,0.08633093525179857
A019030,생강,B,0.1,317,2,27,0.08517350157728706
B021010,담배,C,9.3,9,1,4,0.4444444444444444
D041020,하수도료,C,3.1,168,1,25,0.1488095238095238
D042020,쓰레기봉투료,C,0.7,103,1,24,0.23300970873786409
D042030,정화조청소료,C,0.5,121,1,23,0.19008264462809918
F021010,외래진료비,C,20.5,73,1,21,0.2876712328767123
F021030,한방진료비,C,1.0,32,1,25,0.78125
F021040,약국조제료,C,1.8,12,1,11,0.9166666666666666
F022010,치과진료비,C,6.1,153,1,25,0.16339869281045752
F031010,입원진료비,C,10.2,100,1,21,0.21
G023030,도로통행료,C,1.7,16,1,4,0.25
G031010,열차료,C,1.7,10,12,2,0.2
G031020,도시철도료,C,2.2,24,7,5,0.20833333333333334
G032010,시내버스료,C,6.8,97,1,20,0.20618556701030927
G032020,시외버스료,C,1.0,14,8,2,0.14285714285714285
G032030,택시료,C,3.2,70,1,10,0.14285714285714285
G033020,국제항공료,C,2.9,278,4,26,0.09352517985611511
H011010,우편료,C,0.1,10,1,2,0.2
H031010,유선전화료,C,0.4,20,1,5,0.25
H031020,휴대전화료,C,29.8,115,8,11,0.09565217391304348
H031030,인터넷이용료,C,5.5,4,3,2,0.5
I042070,방송수신료,C,2.4,68,3,10,0.14705882352941177
J011010,유치원납입금,C,1.8,85,3,26,0.3058823529411765
J031010,전문대학납입금,C,1.1,43,3,25,0.5813953488372093
J031020,국공립대학교납입금,C,1.4,43,3,24,0.5581395348837209
J031030,사립대학교납입금,C,8.6,69,3,26,0.37681159420289856
J031040,국공립대학원납입금,C,0.4,45,3,27,0.6
J031050,사립대학원납입금,C,1.6,45,3,27,0.6
L031020,보육시설이용료,C,0.7,100,3,26,0.26
L031030,요양시설이용료,C,0.9,15,1,13,0.8666666666666667
L031070,부동산중개수수료,C,0.8,7,1,1,0.14285714285714285
L031080,행정수수료,C,1.1,20,3,5,0.25
D051010,전기료,D,16.1,47,7,12,0.2553191489361702
D052010,도시가스,D,11.5,182,7,23,0.12637362637362637
D052020,취사용LPG,D,0.9,304,8,27,0.08881578947368421
D053010,등유,D,2.4,316,2,27,0.08544303797468354
D053020,지역난방비,D,1.6,83,8,12,0.14457831325301204
D053030,부탄가스,D,0.1,315,2,27,0.08571428571428572
G021010,휘발유,D,24.1,314,4,27,0.08598726114649681
G021020,경유,D,16.3,317,2,27,0.08517350157728706
G021030,자동차용LPG,D,2.8,279,8,26,0.0931899641577061
