품목명,Tier,가중치,모델,MAPE%
불고기,A,1.1,비계절ETS,0.19511878132061766
쇠고기(외식),A,8.3,비계절ETS,0.12480001757760416
돼지갈비(외식),A,6.1,비계절ETS,0.1333971848441026
삼겹살(외식),A,7.2,비계절ETS,0.11401739775529281
오리고기(외식),A,1.5,비계절ETS,0.25455864439952713
냉면,A,2.4,비계절ETS,0.16027454115733034
칼국수,A,2.7,비계절ETS,0.10487112292278293
죽(외식),A,1.7,비계절ETS,0.3792162516709349
생선초밥,A,2.7,비계절ETS,0.09993195898699192
생선회(외식),A,10.3,비계절ETS,0.18182486406639853
자장면,A,2.2,비계절ETS,0.1424381860239836
짬뽕,A,2.4,비계절ETS,0.1788203711202191
탕수육,A,2.1,비계절ETS,0.1049412156142131
볶음밥,A,0.9,비계절ETS,0.1175933967365395
돈가스,A,2.2,비계절ETS,0.1858051764490378
스테이크,A,1.5,비계절ETS,0.1838895675196196
스파게티,A,1.5,비계절ETS,0.12283780730936594
라면(외식),A,0.7,비계절ETS,0.15807596995421339
김밥,A,3.4,비계절ETS,0.18156706401930592
떡볶이,A,3.1,비계절ETS,0.15021731719221196
치킨,A,8.6,비계절ETS,0.2444834904210191
햄버거,A,4.3,비계절ETS,1.5532794584776835
피자,A,4.1,비계절ETS,0.029081190980816223
쌀국수,A,0.6,비계절ETS,0.11761153650842228
커피(외식),A,8.8,비계절ETS,0.11082553976905975
기타음료(외식),A,0.5,비계절ETS,0.03767885985114105
소주(외식),A,2.5,비계절ETS,0.26736631822480467
맥주(외식),A,4.8,비계절ETS,0.20504017697900134
막걸리(외식),A,0.3,비계절ETS,0.14232897089719457
구내식당식사비,A,11.9,비계절ETS,0.15831592185186533
도시락,A,0.6,비계절ETS,0.8500496045981524
호텔숙박료,A,2.1,비계절ETS,5.19921696217092
여관숙박료,A,1.5,비계절ETS,0.36305776536826495
콘도이용료,B,0.8,계절ETS,5.863581945825577
학교기숙사비,A,0.9,비계절ETS,0.3363004247956029
휴양시설이용료,A,1.4,비계절ETS,6.1479926505883755
목욕료,A,0.6,비계절ETS,0.18372582315274186
찜질방이용료,A,0.6,비계절ETS,0.19340026274010558
이발료,A,0.3,비계절ETS,0.16341406729159236
