품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
C013030,스웨터,A,0.6,118.84091206813017,0.22957160822068565,118.70316910319775
C013040,청바지,A,1.6,121.26699445169434,0.0,121.26699445169434
C013050,운동복,A,2.3,109.77,0.0,109.77
C013060,등산복,A,0.5,106.81437119138688,0.0,106.81437119138688
C014010,유아동복,A,4.6,120.6568394799224,0.0,120.6568394799224
C015010,양말,A,0.9,104.04499505935532,0.0,104.04499505935532
C015020,모자,A,0.6,113.34029331669696,0.06146982581313646,113.30341142120908
C015030,장갑,A,0.2,156.95141001568996,0.0,156.95141001568996
C016010,의복수선료,A,0.2,125.08971067287222,0.0,125.08971067287222
C016020,세탁료,A,1.1,137.79387639045444,0.0,137.79387639045444
C021010,아동화,A,0.9,116.36115037331854,0.17996469194739007,116.2531715581501
C021020,구두,A,2.0,113.25,1.2211523892558442,112.51730856644649
C021030,운동화,A,4.4,111.4199999999619,0.0,111.4199999999619
C021040,실내화,A,0.2,127.69175069758563,0.09192868980342676,127.63659348370358
D011010,전세,A,54.2,105.39587608583147,0.0,105.39587608583147
D011020,월세,A,44.9,104.97263860597167,0.0,104.97263860597167
D031010,주택수선재료,A,3.4,120.47894571242361,0.0,120.47894571242361
D031020,설비수리비,A,5.9,123.93068219437627,0.0,123.93068219437627
D041010,상수도료,A,4.5,117.14957475555777,0.0,117.14957475555777
D042010,공동주택관리비,A,21.8,127.79459362521932,0.0,127.79459362521932
E011010,장롱,A,1.3,124.61,0.22366203804647475,124.47580277717212
E011020,침대,A,2.7,127.77,0.2753596551709781,127.6047842068974
E011030,거실장,A,0.4,126.26617397361477,0.230073325848115,126.1281299781059
E011040,소파,A,1.3,125.93582706708163,0.0,125.93582706708163
E011050,책상,A,0.4,129.76612232406006,0.4301800815761207,129.5080142751144
E011060,의자,A,0.4,116.6452714986834,0.0,116.6452714986834
E011070,식탁,A,0.9,124.53720364105372,0.6251172711976617,124.16213327833512
E011080,싱크대,A,1.3,156.151274548525,0.0,156.151274548525
E021010,침구,A,2.6,117.05,0.1895424434577535,116.93627453392534
E021020,커튼,A,0.4,107.05490282018518,0.0,107.05490282018518
E031010,전기밥솥,A,0.5,100.67864255080767,0.0,100.67864255080767
E031020,가스레인지,A,0.4,108.63167024720411,0.0,108.63167024720411
E031030,전자레인지,A,0.1,100.09111225496743,0.0,100.09111225496743
E031040,전기레인지,A,0.2,99.7404346938494,0.4383699704920853,99.47741271155414
E031050,냉장고,A,2.4,94.71324663814045,0.0,94.71324663814045
E031060,김치냉장고,A,1.1,108.75718665452557,0.0,108.75718665452557
