품목코드,품목명,Tier,가중치,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
C013030,스웨터,A,0.6,118.8052954634839,118.73,118.80351832340935,118.73,118.80306211233929,118.73,118.80266025574234,118.73,118.80226308948498,118.73,118.80186832646923,118.73,118.80147621493376,118.73
C013040,청바지,A,1.6,121.42749703800946,121.22,121.42619129985081,121.22,121.42121893835885,121.22,121.41636683164558,121.22,121.41174413680721,124.42,124.53800241048054,124.42,124.66078437225693,124.42
C013050,운동복,A,2.3,109.88590870853137,109.77,109.88403316899488,109.77,109.88221155108249,109.77,109.88044825770889,109.77,109.8787379565949,109.77,109.87707554490716,109.77,109.87546109293436,112.73
C013060,등산복,A,0.5,106.81426098391405,106.81,106.81415395052937,106.81,106.81404956192277,106.81,106.81394784618153,106.81,106.81384841607732,110.44,110.24721663169932,110.44,110.44603521025596,110.44
C014010,유아동복,A,4.6,120.79174164979726,120.61,120.80565857210381,120.61,120.79053313078997,120.61,120.77373122819614,120.61,120.75823149261744,120.11,120.27132500357672,120.11,120.20780150525033,120.11
C015010,양말,A,0.9,104.13331146662202,104.37,104.33885526244251,104.26,104.3167291617165,104.25,104.29589479439336,104.25,104.2845429184331,104.2,104.23839022019186,104.24,104.25171243105301,104.29
C015020,모자,A,0.6,113.3399619800539,113.28,113.33962976076353,113.28,113.33930868912145,113.28,113.33898103914692,113.28,113.3386619647735,113.28,113.3383421911457,113.28,113.33802800200942,113.28
C015030,장갑,A,0.2,156.8153142034499,156.18,156.76750635820713,156.49,157.0514008777638,156.49,157.00821981115539,156.63,157.11629929453068,157.12,157.5977998489851,157.29,157.74061775844532,157.72
C016010,의복수선료,A,0.2,125.45970126551872,126.19,126.59998708426036,127.22,127.6847891153804,128.23,128.75104003986237,131.51,132.55523725324954,133.06,134.29820947372878,133.81,134.8867231011851,134.6
C016020,세탁료,A,1.1,138.04766043280364,139.4,140.22547519117694,139.94,140.67646112072987,140.43,141.09087463551654,145.55,147.18545467757923,148.98,151.48864000060078,151.92,154.62400418086122,153.4
C021010,아동화,A,0.9,116.36126884257936,116.17,116.36100517539383,116.17,116.36046347326567,116.17,116.3597591671731,116.17,116.35894104305409,116.17,116.35805124041535,116.17,116.3571157920806,116.17
C021020,구두,A,2.0,114.33913937271493,113.25,114.27917092469336,113.81,114.324957796001,113.81,114.36085206649139,113.81,114.38801752230742,113.81,114.4098447751155,113.81,114.42684691408705,113.81
C021030,운동화,A,4.4,111.41999999999696,111.42,111.41999999999976,111.42,111.41999999999999,111.42,111.41999999999999,111.42,111.41999999999999,115.05,114.76015563455813,115.05,115.02849790171939,115.05
C021040,실내화,A,0.2,127.73686299180734,127.69,127.73468887881964,127.86,127.88353486653868,127.89,127.93920040411314,127.34,127.41804186299929,127.57,127.49810097590078,127.9,127.8475372230189,127.97
D011010,전세,A,54.2,105.47643233425218,105.47,105.54226836206473,105.53,105.59557034318367,105.62,105.69535434389384,105.73,105.81954293129516,105.83,105.92271070352791,105.94,106.03888325494101,106.17
D011020,월세,A,44.9,105.08995356199082,105.07,105.1526108817307,105.15,105.23000507494673,105.28,105.37391858788763,105.42,105.52733521974218,105.54,105.65006943156033,105.64,105.7452071160157,105.82
D031010,주택수선재료,A,3.4,120.66624300044988,120.65,120.76926638249124,120.85,120.97382723476156,121.1,121.240577474361,124.5,125.54850163796331,125.85,126.85821486811312,126.17,126.81142088811858,127.28
D031020,설비수리비,A,5.9,123.98236570405834,123.96,124.21923838425344,124.09,124.3373957457455,124.44,124.6945630686743,125.11,125.3963953863739,125.45,125.73922417882942,125.93,126.23307410294177,126.27
