품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
I051050,대학교재,A,0.2,비계절ETS,103.16310080406014,0.13628352014525782,103.08133069197298
I051060,서적,A,1.5,비계절ETS,104.22226687049061,0.0,104.22226687049061
I052010,신문,A,0.4,비계절ETS,120.44485124840268,0.07671341972660173,120.39882319656672
I053010,종이문구,A,0.5,비계절ETS,125.39638583693592,0.0,125.39638583693592
I053020,기타문구,A,0.1,비계절ETS,131.134997108427,-0.5017982625660574,131.43607606596663
I053030,필기구,A,0.4,비계절ETS,118.1757064058721,-0.2290967590619791,118.3131644613093
I053040,회화용구,A,0.2,비계절ETS,119.03868991156412,0.0,119.03868991156412
I061010,국내단체여행비,A,2.0,계절ETS,125.92197914757467,0.0,125.92197914757467
I061020,해외단체여행비,A,5.5,비계절ETS,131.37041389999965,0.0,131.37041389999965
J041010,초등학생학원비,A,7.6,계단평균(검증됨),112.78776921521045,0.0,112.78776921521045
J041020,중학생학원비,A,13.8,비계절ETS,112.01318371312564,0.0,112.01318371312564
J041030,고등학생학원비,A,13.8,비계절ETS,109.64708287073074,-0.12080166398302339,109.71956386912055
J041040,음악학원비,A,3.0,계절ETS,120.39927365879964,0.0,120.39927365879964
