품목코드,품목명,Tier,가중치,pred,pred_corr
F011020,진통제,A,0.4,119.52580645990201,119.52580645990201
F011030,소화제,A,0.3,120.72688074535377,120.72688074535377
F011040,위장약,A,0.2,110.10003660070652,110.10003660070652
F011050,진해거담제,A,0.2,111.00879961427171,111.00879961427171
F011060,소염진통제,A,0.6,114.77240913626984,114.77240913626984
F011070,피부질환제,A,0.3,112.67675138417184,112.67675138417184
F011080,치과구강용약,A,0.3,112.1849346615503,112.1849346615503
F011090,조제약,A,5.8,94.21066546925847,94.21066546925847
F011100,한방약,A,2.7,130.65018634380465,130.65018634380465
F011110,인삼,A,0.3,95.28489884324644,95.28489884324644
F011120,홍삼,A,1.1,106.56847386890448,106.56847386890448
F011130,비타민제,A,1.2,112.513542478569,112.513542478569
F011140,건강기능식품,A,6.5,104.02791438046978,104.02791438046978
F011150,유산균,A,1.2,97.83,97.83
F011160,병원약품,A,3.5,94.12226427856696,94.12226427856696
F012010,종이기저귀,A,1.4,115.04950514912191,115.04950514912191
F012020,생리대,A,1.0,121.07400337742662,121.07400337742662
F012030,마스크,A,1.6,70.45818401445825,70.45818401445825
F012040,반창고,A,0.1,101.76840637357098,101.76840637357098
F012050,안경,A,1.0,101.25047517956179,101.25047517956179
F012060,콘택트렌즈,A,1.4,98.8140011111733,98.8140011111733
F012070,의료측정기,A,0.2,98.75769050939988,98.75769050939988
F012080,보청기,A,0.6,101.98381766980117,101.98381766980117
F012090,건강기기렌탈비,A,1.5,106.56035439142904,106.56035439142904
F012100,치료재료,A,1.5,104.31112647012564,104.31112647012564
F021020,건강검진비,A,1.2,106.09507979685704,106.09507979685704
F022020,치과보철료,A,6.8,102.55611774698859,102.55611774698859
F031020,병원검사료,A,1.1,61.37,61.37
G011010,소형승용차,A,1.0,105.02364365787196,105.02364365787196
G011020,중형승용차,A,1.0,105.81844045084016,105.81844045084016
G011030,대형승용차,A,3.2,111.81359079221963,111.81359079221963
G011040,경승용차,A,0.6,105.526423682266,105.526423682266
G011050,다목적승용차,A,7.7,112.29770997826634,112.29770997826634
G011060,수입승용차,A,9.3,105.92341409583516,105.92341409583516
G011070,전기동력차,A,5.1,104.4136977322792,104.4136977322792
G011080,자전거,A,0.5,132.12045722875087,132.12045722875087
G022010,자동차용품,A,0.9,114.61453582493046,114.61453582493046
G022020,블랙박스,A,0.2,102.72909738638954,102.72909738638954
G022030,자동차타이어,A,0.9,119.7533261566524,119.7533261566524
G022040,자동차수리비,A,6.3,115.27842061091245,115.27842061091245
G022050,엔진오일교체료,A,1.0,132.77881795066253,132.77881795066253
G022060,세차료,A,0.5,132.22091961680508,132.22091961680508
G023010,자동차학원비,A,0.5,113.89512897063395,113.89512897063395
G023020,주차료,A,1.2,109.45170902931697,109.45170902931697
G023040,승용차임차료,B,3.2,82.77294556685554,82.77294556685554
G023050,대리운전이용료,A,0.4,134.0258324108807,134.0258324108807
G023060,자동차검사료,A,0.3,100.0,100.0
G033010,국내항공료,B,1.0,104.48614669683325,104.48614669683325
G033030,여객선료,A,0.2,113.13256685968653,113.13256685968653
G034010,이삿짐운송료,A,1.0,127.94271880731506,127.94271880731506
G034020,택배이용료,A,1.9,114.6184089705368,114.6184089705368
H021010,휴대전화기,A,10.4,99.34917267671338,99.34917267671338
H031040,휴대전화기수리비,A,0.4,106.47595799515757,106.47595799515757
I011010,TV,A,1.9,88.07364549117516,88.07364549117516
I011020,영상음향기기,A,0.9,96.69980472287284,96.69980472287284
I012010,컴퓨터,A,3.0,91.18060607447033,91.18060607447033
I012020,컴퓨터수리비,A,0.1,165.42428301847136,165.42428301847136
I012030,휴대용멀티미디어기기,A,1.2,117.17949405468954,117.17949405468954
I012040,컴퓨터소모품,A,0.7,118.62256987231757,118.62256987231757
I012050,저장장치,A,0.1,131.3158174574584,131.3158174574584
I021010,악기,A,0.3,104.57369196444083,104.57369196444083
I021020,헬스기구,A,1.1,109.32245416212666,109.32245416212666
I031010,장난감,A,2.9,98.89089474192266,98.89089474192266
I031020,레저용품,A,1.6,109.23,109.23
I031030,운동용품,A,2.1,96.3405945617524,96.3405945617524
I031040,화초,A,0.7,146.7699998944998,146.7699998944998
I031050,원예용품,A,0.4,116.5211130349117,116.5211130349117
I031060,반려동물용품,A,3.3,118.13614006899925,118.13614006899925
I031070,반려동물관리비,A,2.6,111.33129784220367,111.33129784220367
I041010,수영장이용료,A,0.2,111.08975484752264,111.08975484752264
I041020,볼링장이용료,A,0.2,107.66012393179624,107.66012393179624
I041030,헬스클럽이용료,A,1.5,107.7734414822147,107.7734414822147
I041040,골프연습장이용료,A,2.3,104.98228023742222,104.98228023742222
