품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,pred_2025-09,actual_2025-09,pred_2025-10,actual_2025-10,pred_2025-11,actual_2025-11,pred_2025-12,actual_2025-12,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A018090,잼,A,0.1,비계절ETS,171.81388280488792,172.18,173.00847510163996,172.63,173.47769940820666,164.36,165.23221984292587,171.06,171.30581671200696,168.68,169.56686946860736,167.97,168.71248867662752,164.96,165.77852230682097,164.95,165.50391660718444,162.85,163.4857183925888,171.41,171.23642990979127,171.7,172.2471414550692,171.81
A018100,꿀,A,0.4,비계절ETS,116.44917521715603,116.74,116.87994712962998,116.33,116.25204620961469,116.16,116.06579076151574,116.46,116.52064543410006,116.45,116.47415309612575,116.22,116.15173133476677,116.79,116.95491773414736,117.0,117.14747209868322,116.77,116.7582948744327,116.79,116.79152523342903,116.93,116.97875300230349,116.92
A018110,물엿,A,0.2,비계절ETS,138.95124931772952,138.36,138.475148958855,141.73,140.72723547464315,131.84,134.62232064726004,138.33,136.75458390401997,140.15,138.90644196450697,140.79,140.23455596297282,125.43,130.68665191876713,138.95,135.1139170515907,138.52,136.95244316495672,135.73,136.20519459998278,139.07,137.8409168348587,139.04
A019010,고춧가루,A,1.6,비계절ETS,113.66236924660659,115.4,115.96932600712127,114.51,113.93587042017292,114.17,113.87575092599243,113.53,113.05095270444255,114.78,115.61380421514401,115.07,115.35476202371896,115.04,115.04660335358568,114.97,114.92144508513299,114.95,114.93122421115645,114.96,114.96520263996473,115.08,115.16484110472594,115.12
A019020,참깨,A,0.6,비계절ETS,134.39007106710577,134.22,134.5230661487794,134.2,134.49165685305752,134.31,134.5949179576151,134.37,134.64720730497996,134.38,134.64867911986605,134.73,134.99953991762442,134.67,134.9297988891689,135.8,136.07917160392316,135.39,135.65119210100946,135.6,135.8587208334984,135.81,136.06628943840062,137.33
A019040,소금,A,0.2,비계절ETS,176.6253908374438,176.59,176.62401269814364,176.6,176.61609171085166,176.52,176.48974937457214,176.35,176.26236519916068,176.03,175.8546146793203,176.28,176.32663130802803,176.33,176.3737352973096,175.53,175.189031730136,175.69,175.6306707425114,176.09,176.25240824935125,176.52,176.77398636543614,176.88
A019050,간장,A,0.4,비계절ETS,130.06103288091077,128.36,128.53551676615734,129.82,130.01413433260043,128.99,129.16780734356826,129.01,129.18394146445922,129.47,129.6431453842314,136.91,137.20811017073635,138.71,139.04156597790922,139.19,139.52636439290777,140.18,140.5299925767872,142.43,142.83317551226844,140.83,141.17138917566155,142.4
A019060,된장,A,0.4,비계절ETS,130.71910647877894,129.95,130.12055776326696,130.12,130.21894120041736,130.44,130.51776954346045,131.96,131.923845381509,126.13,126.81729269459434,140.06,137.90933391979462,136.78,137.06518261385725,138.63,138.44013946576155,134.28,135.17150728251104,140.08,139.1774947091653,142.35,141.83638149244845,140.17
A019070,양념소스,A,0.5,비계절ETS,135.65178666250384,141.43,138.91429976155356,141.01,140.55605791248323,137.18,139.62804926916448,139.07,139.94231028528202,137.47,139.26899936250447,137.08,138.5863601907829,130.36,134.58631019003872,136.76,135.65805960902665,139.19,137.31599297415218,138.17,137.78422884010448,140.29,139.28500726160772,142.25
A019080,고추장,A,0.3,비계절ETS,133.6188128600659,134.55,134.43588034422788,137.07,136.56248095787203,134.24,134.88612792039442,135.88,135.746421806204,134.05,134.5520792707021,144.31,142.02982315182237,137.45,138.71247052035463,137.22,137.7116850121921,142.16,141.07545530981037,141.9,141.7832455133161,141.66,141.79283256160062,141.63
A019090,카레,A,0.2,비계절ETS,131.7223135027366,131.13,131.2392451166697,131.98,132.04248419014186,130.16,130.3172697534076,131.07,131.1278884815368,131.27,131.35129509044472,131.39,131.47490985125378,129.78,129.93152508880834,129.71,129.80323885377695,128.52,128.65260379388025,127.74,127.85613072499977,128.85,128.8954633272797,130.81
A019100,식초,A,0.1,비계절ETS,147.6497554672833,145.06,146.26592476266202,146.69,147.13113001808236,148.7,148.86895311360826,147.31,148.27817061983944,147.98,148.59629038455688,147.34,148.1757140588134,148.81,149.15694828185067,148.61,149.25854870161885,147.71,148.58435819215376,148.84,149.24137254377516,147.91,148.7016209764888,147.86
A019110,드레싱,A,0.2,비계절ETS,161.5725659507613,160.44,160.5752722889316,161.2,161.05477732859165,161.18,161.18612781097482,162.52,162.49837735789794,162.5,162.7518936483552,164.2,164.346597780471,162.42,162.90847933598337,161.25,161.312501230662,163.44,163.0726135940223,162.56,162.71578768673245,165.19,165.10149806072246,166.94
