품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
여자하의,A,2.4,비계절ETS,0.4273109630710629,C012040,03 의류 및 신발
여자내의,A,1.8,비계절ETS,0.12986419222696,C012050,03 의류 및 신발
점퍼,A,3.3,비계절ETS,0.562952336044879,C013010,03 의류 및 신발
티셔츠,A,4.6,비계절ETS,0.1525320630243196,C013020,03 의류 및 신발
스웨터,A,0.6,비계절ETS,0.1293247451135696,C013030,03 의류 및 신발
청바지,A,1.6,비계절ETS,0.512321461172197,C013040,03 의류 및 신발
운동복,A,2.3,비계절ETS,0.305860701548156,C013050,03 의류 및 신발
등산복,A,0.5,비계절ETS,0.2916404551106298,C013060,03 의류 및 신발
유아동복,A,4.6,비계절ETS,0.3228326654096666,C014010,03 의류 및 신발
양말,A,0.9,비계절ETS,0.1136422245665168,C015010,03 의류 및 신발
모자,A,0.6,비계절ETS,0.0527987827657012,C015020,03 의류 및 신발
장갑,A,0.2,비계절ETS,0.6113801649656124,C015030,03 의류 및 신발
의복수선료,A,0.2,비계절ETS,0.4126282449613034,C016010,03 의류 및 신발
세탁료,A,1.1,비계절ETS,0.6823130237257762,C016020,03 의류 및 신발
아동화,A,0.9,비계절ETS,0.1623979587947398,C021010,03 의류 및 신발
구두,A,2.0,비계절ETS,0.8135929204496427,C021020,03 의류 및 신발
운동화,A,4.4,비계절ETS,0.2854807703897914,C021030,03 의류 및 신발
실내화,A,0.2,비계절ETS,0.1191328024935536,C021040,03 의류 및 신발
전세,A,54.2,비계절ETS,0.0300251920457021,D011010,"04 주택,수도,전기및연료"
월세,A,44.9,비계절ETS,0.02300764084738,D011020,"04 주택,수도,전기및연료"
주택수선재료,A,3.4,비계절ETS,0.3938858864607249,D031010,"04 주택,수도,전기및연료"
설비수리비,A,5.9,비계절ETS,0.1001365406763584,D031020,"04 주택,수도,전기및연료"
상수도료,A,4.5,비계절ETS,0.215329448385518,D041010,"04 주택,수도,전기및연료"
공동주택관리비,A,21.8,비계절ETS,0.6535087496198269,D042010,"04 주택,수도,전기및연료"
장롱,A,1.3,비계절ETS,0.3631768317589139,E011010,05 가정용품및가사서비스
침대,A,2.7,비계절ETS,0.5510049734026069,E011020,05 가정용품및가사서비스
거실장,A,0.4,비계절ETS,0.2919281806491828,E011030,05 가정용품및가사서비스
소파,A,1.3,비계절ETS,1.526612119114845,E011040,05 가정용품및가사서비스
책상,A,0.4,비계절ETS,0.2941833231234037,E011050,05 가정용품및가사서비스
의자,A,0.4,비계절ETS,0.6073411498197794,E011060,05 가정용품및가사서비스
식탁,A,0.9,비계절ETS,0.6903442232457034,E011070,05 가정용품및가사서비스
싱크대,A,1.3,비계절ETS,1.0469257224542077,E011080,05 가정용품및가사서비스
침구,A,2.6,비계절ETS,0.1548796296391795,E021010,05 가정용품및가사서비스
커튼,A,0.4,비계절ETS,0.4020708769632848,E021020,05 가정용품및가사서비스
전기밥솥,A,0.5,비계절ETS,1.4446592280166428,E031010,05 가정용품및가사서비스
가스레인지,A,0.4,비계절ETS,0.9673510633130664,E031020,05 가정용품및가사서비스
전자레인지,A,0.1,비계절ETS,0.9802893025183688,E031030,05 가정용품및가사서비스
전기레인지,A,0.2,비계절ETS,0.885535842186005,E031040,05 가정용품및가사서비스
냉장고,A,2.4,비계절ETS,2.329370521090794,E031050,05 가정용품및가사서비스
김치냉장고,A,1.1,비계절ETS,1.4171818568177896,E031060,05 가정용품및가사서비스
