품목코드,품목명,Tier,가중치,MAPE_비계절ETS,MAPE_계절ETS,MAPE_계단평균,MAPE_완전동결,최선방식,상대개선,채택방식
I031020,레저용품,A,1.6,0.7581948961689201,0.6879926113626386,1.1075098101485372,0.5856829697156047,완전동결,0.22752979125156364,완전동결
I031030,운동용품,A,2.1,1.3839016600587246,1.3635575334818029,1.6291634774776858,1.3869212492617211,계절ETS,0.014700557968879426,비계절ETS
I031060,반려동물용품,A,3.3,0.830493387504027,0.8356788726954326,1.183545502277144,0.920884764562647,비계절ETS,0.0,비계절ETS
I031070,반려동물관리비,A,2.6,0.13304812918834047,0.15394562567082581,0.2535099003463696,0.17219843999214793,비계절ETS,0.0,비계절ETS
I041030,헬스클럽이용료,A,1.5,0.16574768450882946,0.16457612666144594,0.24858700049781157,0.14768791973254455,완전동결,0.10895937900913995,비계절ETS
I041040,골프연습장이용료,A,2.3,0.09715537363110881,0.11880819126580727,0.15580384422040988,0.099847270308692,비계절ETS,0.0,비계절ETS
I041050,골프장이용료,A,3.0,0.4620914709599442,0.424364113085956,0.42743537738096316,0.4397722119239728,계절ETS,0.08164478300284085,비계절ETS
I041090,놀이시설이용료,A,2.3,1.5008569250372314,0.7348498792615082,0.7314109864652053,1.5179784295395868,계단평균,0.5126710785926104,계단평균
I042010,영화관람료,A,1.0,0.0008128421753565398,0.13500156943157557,0.6463014906113699,0.0,완전동결,1.0,완전동결
I042060,온라인콘텐츠이용료,A,8.0,0.23867382178235758,0.24271696017882913,0.38471325304630133,0.14572957200308184,완전동결,0.3894195395422542,완전동결
I042080,사진서비스료,A,1.7,0.5259081103099134,0.524831166754162,0.5713346582116638,0.5426090902140738,계절ETS,0.0020477789458632845,비계절ETS
I051060,서적,A,1.5,0.6576807037634628,0.6291290370655109,0.6857590059098841,0.6566393236504166,계절ETS,0.043412656832669594,비계절ETS
I061010,국내단체여행비,A,2.0,5.5952661255145975,2.928460087953943,3.4862742100081814,6.159306710860348,계절ETS,0.4766182658229483,계절ETS
I061020,해외단체여행비,A,5.5,3.9365567646749953,3.8743684367228406,3.736945974843569,4.193218591385132,계단평균,0.05070695070947524,비계절ETS
J041010,초등학생학원비,A,7.6,0.11099853723481694,0.08321066085723045,0.07839619320615725,0.16397404521568165,계단평균,0.293718681712801,계단평균
J041020,중학생학원비,A,13.8,0.09192799635094645,0.09926784625271252,0.10266015908752292,0.1483626906556151,비계절ETS,0.0,비계절ETS
J041030,고등학생학원비,A,13.8,0.1013932899716966,0.1366398372926171,0.1000424438643778,0.1187359059105364,계단평균,0.013322835344388934,비계절ETS
J041040,음악학원비,A,3.0,0.13754056442819984,0.10430552765114115,0.1451207860418419,0.19522522434275116,계절ETS,0.2416380717588835,계절ETS
J041050,미술학원비,A,2.6,0.1674441481153414,0.142583447074489,0.1587169281915306,0.18389644783136538,계절ETS,0.1484716027443818,비계절ETS
J041060,운동학원비,A,5.7,0.2402843270650137,0.1251262614574997,0.13371005036937528,0.28287692828079103,계절ETS,0.47925749887280705,계절ETS
J041080,가정학습지,A,3.5,0.35623618455349143,0.39473624014628633,0.5118597723136473,0.29720242323820334,완전동결,0.16571523016192574,완전동결
J041100,학교보충교육비,A,1.4,0.6687422795729004,0.6097768781092777,0.9326027087326235,0.664233553610288,계절ETS,0.0881735808617957,비계절ETS
J042010,취업학원비,A,2.0,0.34146419810073597,0.40524704675150586,0.7058893170942693,0.3587880687260381,비계절ETS,0.0,비계절ETS
J042030,운동강습료,A,3.7,0.11481189167499785,0.09264116733852039,0.1115688537810069,0.12495783754908267,계절ETS,0.1931047734953878,계절ETS
K011010,김치찌개백반,A,4.8,0.16153166771864405,0.12684990585184855,0.17441849945884821,0.2677211700506858,계절ETS,0.2147056509513925,계절ETS
K011020,된장찌개백반,A,4.3,0.16762468511037482,0.14072415330842333,0.17994061805085557,0.27698428095806765,계절ETS,0.1604807298175591,계절ETS
K011030,비빔밥,A,2.4,0.16602859203481116,0.15033643134226213,0.21772476469874946,0.29614900904095603,계절ETS,0.09451480916768154,비계절ETS
K011040,설렁탕,A,2.0,0.15330197186376965,0.1488659228317883,0.24129694868704404,0.26674097638319727,계절ETS,0.028936673012421605,비계절ETS
K011050,갈비탕,A,2.2,0.16116052084799593,0.15274522771986568,0.2596107590255928,0.29197844219572544,계절ETS,0.052216839979484925,비계절ETS
K011060,삼계탕,A,2.2,0.17768648848106977,0.13173986659978185,0.16107879424263857,0.2399492235802732,계절ETS,0.25858253080499677,계절ETS
K011070,해물찜,A,4.1,0.11760688240371583,0.11866834936356843,0.11942582329248452,0.18059237444293394,비계절ETS,0.0,비계절ETS
K011080,해장국,A,5.0,0.24529516128302065,0.20741724801385444,0.22754009218333932,0.32751651354684524,계절ETS,0.15441769446671966,계절ETS
K011090,불고기,A,1.1,0.14271118720812226,0.12426997589416196,0.1478773086630119,0.22902691542122697,계절ETS,0.12922050243381858,비계절ETS
K011100,쇠고기(외식),A,8.3,0.15122099118921176,0.15460808099860668,0.27841183519640117,0.18865885025199136,비계절ETS,0.0,비계절ETS
K011110,돼지갈비(외식),A,6.1,0.1262909759106972,0.1386204458345972,0.15739069999002386,0.21005864385369044,비계절ETS,0.0,비계절ETS
K011120,삼겹살(외식),A,7.2,0.12573415042431335,0.1461676853188619,0.1753080416854651,0.20063721172789237,비계절ETS,0.0,비계절ETS
K011130,오리고기(외식),A,1.5,0.19197412285105792,0.1731654777351736,0.19614591563969389,0.21354922280533678,계절ETS,0.09797489805684331,비계절ETS
