품목코드,품목명,Tier,가중치,모델,pred_2026-08
A017070,부추,B,0.2,계절ETS,110.9183822949053
A017080,무,B,0.6,계절ETS,114.30717258454943
A017090,열무,B,0.2,계절ETS,147.86124927706337
A017100,당근,B,0.3,계절ETS,87.02495750944588
A017110,감자,B,0.6,계절ETS,100.7778082405709
A017120,고구마,B,1.0,계절ETS,101.74831087173013
A017130,도라지,B,0.1,계절ETS,133.29353169953782
A017140,콩나물,B,0.5,계절ETS,109.89229937303381
A017150,버섯,B,0.9,계절ETS,110.71887702858838
A017160,오이,B,0.6,계절ETS,123.19624665967906
A017170,풋고추,B,0.6,계절ETS,119.54679355290423
A017180,호박,B,0.5,계절ETS,108.93073540183184
A017190,가지,B,0.2,계절ETS,101.03035855796298
A017200,토마토,B,1.3,계절ETS,95.50675152058749
A017210,파,B,0.9,계절ETS,118.64863072845722
A017220,양파,B,0.7,계절ETS,85.45152182503071
A017230,마늘,B,1.3,계절ETS,137.1322339906499
A017240,브로콜리,B,0.2,계절ETS,117.73415368866752
A017260,파프리카,B,0.6,계절ETS,102.81377218376551
A019030,생강,B,0.1,계절ETS,107.07005267268808
B021010,담배,C,9.3,비계절ETS,99.84697357139989
D041020,하수도료,C,3.1,비계절ETS,132.78475079760324
D042020,쓰레기봉투료,C,0.7,비계절ETS,106.15090569252952
D042030,정화조청소료,C,0.5,비계절ETS,117.45145158191359
F021010,외래진료비,C,20.5,계절ETS,111.41028939141101
F021030,한방진료비,C,1.0,계절ETS,119.29825216950226
F021040,약국조제료,C,1.8,계절ETS,119.90548320923031
F022010,치과진료비,C,6.1,계절ETS,115.18775057362018
F031010,입원진료비,C,10.2,계절ETS,109.98486958653095
G023030,도로통행료,C,1.7,비계절ETS,95.8261410680853
G031010,열차료,C,1.7,비계절ETS,100.00778485298912
G031020,도시철도료,C,2.2,비계절ETS,120.17730927178953
G032010,시내버스료,C,6.8,비계절ETS,117.04735247292787
G032020,시외버스료,C,1.0,비계절ETS,110.24863819420229
G032030,택시료,C,3.2,비계절ETS,124.56458126756223
G033020,국제항공료,C,2.9,비계절ETS,150.1321946260037
H011010,우편료,C,0.1,비계절ETS,123.37128488972303
H031010,유선전화료,C,0.4,비계절ETS,100.36999617309966
H031020,휴대전화료,C,29.8,비계절ETS,102.00468632760024
H031030,인터넷이용료,C,5.5,비계절ETS,100.6199744085836
I042070,방송수신료,C,2.4,비계절ETS,100.59429327317626
J011010,유치원납입금,C,1.8,비계절ETS,39.29450498924817
J031010,전문대학납입금,C,1.1,계절ETS,108.36186629041296
J031020,국공립대학교납입금,C,1.4,계절ETS,101.88438929136498
J031030,사립대학교납입금,C,8.6,계절ETS,107.5518722952988
J031040,국공립대학원납입금,C,0.4,계절ETS,107.63083837636518
J031050,사립대학원납입금,C,1.6,계절ETS,108.52919863465155
L031020,보육시설이용료,C,0.7,비계절ETS,69.81238996518314
L031030,요양시설이용료,C,0.9,비계절ETS,125.41400211506587
