품목명,Tier,가중치,MAPE_보정전,MAPE_보정후,개선
섬유유연제,A,0.1,1.4984439326261505,1.4984439326261505,0.0
전구,A,0.2,1.2537677344857947,1.3135401697988114,-0.05977243531301668
부엌용세제,A,0.6,1.4216067696121772,1.4216067696121772,0.0
청소용세제,A,0.2,0.15018017748143184,0.15018017748143184,0.0
살충제,A,0.3,1.088618998900163,1.07603412438902,0.012584874511142985
가정용비닐용품,A,0.6,1.406254809453053,1.4188296095310677,-0.012574800078014814
키친타월,A,1.0,1.5147124243716101,1.5147124243716101,0.0
방향제,A,0.3,1.0802164276133703,1.1159463403826806,-0.03572991276931026
습기제거제,A,0.1,1.7106060521867645,1.7106060521867645,0.0
가사도우미료,A,2.4,0.1645819183703038,0.15957064953689368,0.005011268833410132
간병도우미료,A,2.6,0.34600383564618564,0.3429960611137159,0.0030077745324697536
감기약,A,0.4,0.06922460274994081,0.06922460274994081,0.0
진통제,A,0.4,0.09328544009129996,0.09328544009129996,0.0
소화제,A,0.3,0.07220819350297904,0.07220819350297904,0.0
위장약,A,0.2,0.10781739673351987,0.13097206685694585,-0.02315467012342598
진해거담제,A,0.2,0.17498585357931423,0.17498585357931423,0.0
소염진통제,A,0.6,0.050500114625208196,0.04790560325559369,0.0025945113696145064
피부질환제,A,0.3,0.12064878632965388,0.12064878632965388,0.0
치과구강용약,A,0.3,0.04717923128491437,0.04717923128491437,0.0
조제약,A,5.8,0.08778171182892985,0.08154865703473495,0.006233054794194906
한방약,A,2.7,0.13537642795594082,0.13990860419832443,-0.004532176242383612
인삼,A,0.3,0.8451932842336073,0.7771594421640254,0.06803384206958185
홍삼,A,1.1,3.561486479807823,3.4993578916335624,0.06212858817426081
비타민제,A,1.2,0.09154316760948106,0.09181658006519812,-0.00027341245571706196
건강기능식품,A,6.5,0.3815661785597134,0.3817217261715881,-0.00015554761187469568
유산균,A,1.2,0.6229237247291294,0.7022763113371151,-0.07935258660798572
병원약품,A,3.5,0.08880828567286746,0.08880828567286746,0.0
종이기저귀,A,1.4,0.5288205425909553,0.5288205425909553,0.0
생리대,A,1.0,3.153237519390505,3.153237519390505,0.0
마스크,A,1.6,0.1595319599613442,0.18803549501390387,-0.028503535052559675
반창고,A,0.1,0.12192863760982621,0.12192863760982621,0.0
안경,A,1.0,0.09833001430950804,0.10181300116845193,-0.0034829868589438956
콘택트렌즈,A,1.4,0.520864221103612,0.5834654467212955,-0.06260122561768355
의료측정기,A,0.2,0.21253652399865577,0.21253652399865577,0.0
보청기,A,0.6,0.03335604031171572,0.03335604031171572,0.0
건강기기렌탈비,A,1.5,3.5316622762582566,3.441975291555541,0.08968698470271574
치료재료,A,1.5,0.37044856024358835,0.38243484802903543,-0.01198628778544708
건강검진비,A,1.2,0.20234348361324203,0.20980845066706771,-0.007464967053825683
치과보철료,A,6.8,0.2657685105727177,0.22756747262653415,0.03820103794618357
병원검사료,A,1.1,0.20735187180913306,0.21181705429815148,-0.004465182489018421
소형승용차,A,1.0,0.2636647824765061,0.2636647824765061,0.0
중형승용차,A,1.0,0.5889534199390888,0.6031481070784808,-0.014194687139391982
대형승용차,A,3.2,1.3324926902073342,1.3545384161088592,-0.022045725901524982
경승용차,A,0.6,0.18120184377302342,0.18120184377302342,0.0
다목적승용차,A,7.7,0.2667530003241389,0.27115972303642527,-0.004406722712286371
수입승용차,A,9.3,1.124926795927835,1.1745328181750225,-0.049606022247187465
전기동력차,A,5.1,1.2045487342268992,1.2149345845212032,-0.010385850294303944
자전거,A,0.5,0.21768870993908387,0.19890772305284607,0.018780986886237805
자동차용품,A,0.9,1.3940407435307467,1.4072287377363581,-0.013187994205611453
블랙박스,A,0.2,0.5851501509762138,0.6023126517146575,-0.01716250073844372
자동차타이어,A,0.9,0.1420139335478017,0.14646662387465442,-0.004452690326852721
자동차수리비,A,6.3,0.3694325909858888,0.3779545415839452,-0.008521950598056383
엔진오일교체료,A,1.0,1.2737874483221154,1.2737874483221154,0.0
세차료,A,0.5,0.2983866332221006,0.30987345893286006,-0.011486825710759485
자동차학원비,A,0.5,0.10662986867391493,0.10904345157793503,-0.0024135829040201062
주차료,A,1.2,0.18500753186079655,0.1813682608738782,0.0036392709869183526
승용차임차료,B,3.2,10.339972548275373,10.339972548275373,0.0
대리운전이용료,A,0.4,0.12605037310469078,0.13053904807819167,-0.004488674973500889
자동차검사료,A,0.3,0.0,0.0,0.0
국내항공료,B,1.0,4.562992194861423,4.562992194861423,0.0
여객선료,A,0.2,1.2694017169422227,1.2694017169422227,0.0
이삿짐운송료,A,1.0,0.4529135554298314,0.4518496154984848,0.0010639399313466247
택배이용료,A,1.9,0.10569613452418333,0.10087769324009645,0.004818441284086886
휴대전화기,A,10.4,0.4682818971282703,0.24423270086072232,0.22404919626754796
휴대전화기수리비,A,0.4,1.6998081908681695,1.6872869111255222,0.012521279742647273
TV,A,1.9,1.6801364441479232,1.6455543981966012,0.03458204595132197
영상음향기기,A,0.9,1.4502697594537242,1.510729679479906,-0.060459920026181946
컴퓨터,A,3.0,2.1687775973239916,2.1361695251394903,0.032608072184501236
컴퓨터수리비,A,0.1,1.9308408891825013,1.9723401520295767,-0.04149926284707539
휴대용멀티미디어기기,A,1.2,1.594635055996393,1.7498280768703467,-0.1551930208739536
컴퓨터소모품,A,0.7,0.8873331737492449,0.8873331737492449,0.0
저장장치,A,0.1,2.9684890931404726,2.9507769970764026,0.017712096064069982
악기,A,0.3,0.17772920025682742,0.1835818489072641,-0.005852648650436665
헬스기구,A,1.1,1.793873805630029,1.8248079516365934,-0.03093414600656441
장난감,A,2.9,0.7225121635971082,0.7505584948756527,-0.0280463312785445
레저용품,A,1.6,0.7140780957537175,0.814860473851014,-0.10078237809729651
운동용품,A,2.1,1.9369251972217834,1.967873601707128,-0.03094840448534475
화초,A,0.7,5.446906465998975,5.446906465998975,0.0
원예용품,A,0.4,0.2364469017579042,0.2364469017579042,0.0
반려동물용품,A,3.3,0.6760222031410176,0.7008289159528758,-0.0248067128118582
