월,분류,방식,예측,실제,오차,오차%
2025-05,10 교육,바텀업,109.04281761665254,108.74,0.3028176166525469,0.2784785880564162
2025-05,11 음식 및 숙박,바텀업,124.22623592795331,124.35,-0.12376407204668283,-0.09952880743601354
2025-05,12 기타 상품 및 서비스,바텀업,125.01738877618774,124.94,0.07738877618774609,0.061940752511402346
2025-06,01 식료품 및 비주류음료,탑다운,124.25285591487406,124.74,-0.48714408512593366,-0.39052756543685563
2025-06,02 주류 및 담배,탑다운,104.64460989459859,104.87,-0.22539010540141646,-0.21492333880177025
2025-06,03 의류 및 신발,탑다운,116.38672494728846,116.46,-0.07327505271153711,-0.06291864392197932
2025-06,"04 주택, 수도, 전기 및 연료",탑다운,116.53085976570608,116.56,-0.02914023429391932,-0.025000201007137374
2025-06,05 가정용품 및 가사 서비스,탑다운,118.35467969301868,119.41,-1.055320306981315,-0.8837788350902898
2025-06,06 보건,탑다운,105.58943918957512,105.54,0.04943918957511073,0.046844030296674936
2025-06,07 교통,탑다운,114.60553238282036,114.15,0.45553238282035124,0.39906472432794676
2025-06,08 통신,탑다운,101.34606196301532,101.34,0.006061963015312699,0.0059818068041372595
2025-06,09 오락 및 문화,탑다운,109.5064200122774,109.49,0.016420012277407636,0.014996814574305998
2025-06,10 교육,탑다운,109.00779622007418,108.85,0.15779622007418936,0.1449666697971423
2025-06,11 음식 및 숙박,탑다운,124.74815260276847,124.39,0.3581526027684703,0.2879271667887051
2025-06,12 기타 상품 및 서비스,탑다운,125.33257684949363,124.93,0.40257684949362726,0.32224193507854576
2025-06,01 식료품 및 비주류음료,바텀업,123.80100506966998,124.74,-0.9389949303300114,-0.7527616885762477
2025-06,02 주류 및 담배,바텀업,104.88933599201327,104.87,0.019335992013267855,0.018438058561331034
2025-06,03 의류 및 신발,바텀업,116.18274650269724,116.46,-0.27725349730275184,-0.2380675745343911
2025-06,"04 주택, 수도, 전기 및 연료",바텀업,116.23398592762891,116.56,-0.3260140723710947,-0.2796963558434237
2025-06,05 가정용품 및 가사 서비스,바텀업,118.2955961856483,119.41,-1.1144038143517037,-0.9332583655905734
2025-06,06 보건,바텀업,105.9529496122112,105.54,0.4129496122111931,0.3912730833913142
2025-06,07 교통,바텀업,114.8241213019011,114.15,0.6741213019010956,0.5905574261069607
2025-06,08 통신,바텀업,101.2408432716734,101.34,-0.09915672832660505,-0.09784559732248375
2025-06,09 오락 및 문화,바텀업,110.86349296346128,109.49,1.3734929634612882,1.254446034762342
2025-06,10 교육,바텀업,109.19042970421853,108.85,0.34042970421853624,0.3127512211470246
2025-06,11 음식 및 숙박,바텀업,124.50857591992902,124.39,0.11857591992901462,0.09532592646435775
2025-06,12 기타 상품 및 서비스,바텀업,125.2431296121707,124.93,0.3131296121706981,0.25064405040478516
2025-07,01 식료품 및 비주류음료,탑다운,125.1841697793241,125.75,-0.565830220675906,-0.44996439019952766
2025-07,02 주류 및 담배,탑다운,104.75760301067865,104.88,-0.12239698932134502,-0.11670193489830762
2025-07,03 의류 및 신발,탑다운,116.40424263169554,116.46,-0.05575736830445521,-0.047876840378203
2025-07,"04 주택, 수도, 전기 및 연료",탑다운,115.3547331641716,115.16,0.19473316417160902,0.16909791956548195
2025-07,05 가정용품 및 가사 서비스,탑다운,119.46287452117035,119.32,0.1428745211703557,0.11974063121887003
2025-07,06 보건,탑다운,105.31781302968975,105.5,-0.182186970310255,-0.17268907138412795
2025-07,07 교통,탑다운,114.60641350055724,115.82,-1.213586499442755,-1.0478211875692929
2025-07,08 통신,탑다운,101.40444388932508,101.35,0.05444388932508559,0.053718687049911784
2025-07,09 오락 및 문화,탑다운,110.36726383913641,110.16,0.20726383913641655,0.18814800212093005
2025-07,10 교육,탑다운,109.07506129198302,108.9,0.17506129198301323,0.16075417078329957
2025-07,11 음식 및 숙박,탑다운,124.90975090136415,125.15,-0.2402490986358572,-0.19196891620923467
2025-07,12 기타 상품 및 서비스,탑다운,125.2735694517939,124.98,0.2935694517938998,0.23489314433821396
2025-07,01 식료품 및 비주류음료,바텀업,124.93948369684077,125.75,-0.8105163031592326,-0.6445457679198668
2025-07,02 주류 및 담배,바텀업,104.964072068512,104.88,0.08407206851200044,0.08016024839054199
2025-07,03 의류 및 신발,바텀업,116.40376349697095,116.46,-0.05623650302904082,-0.04828825607851694
2025-07,"04 주택, 수도, 전기 및 연료",바텀업,116.32741938648886,115.16,1.1674193864888593,1.0137368760757723
2025-07,05 가정용품 및 가사 서비스,바텀업,119.58227583004026,119.32,0.26227583004026656,0.2198087747571795
2025-07,06 보건,바텀업,105.9108006675913,105.5,0.4108006675913032,0.38938451904388927
2025-07,07 교통,바텀업,115.6283969750587,115.82,-0.191603024941287,-0.16543172590337335
2025-07,08 통신,바텀업,101.23977268341604,101.35,-0.11022731658395912,-0.10875906915042835
2025-07,09 오락 및 문화,바텀업,110.40240851680599,110.16,0.24240851680599462,0.2200513042901186
2025-07,10 교육,바텀업,109.32201894779988,108.9,0.42201894779987015,0.3875288776858311
2025-07,11 음식 및 숙박,바텀업,124.75122925024877,125.15,-0.39877074975123605,-0.3186342387145314
2025-07,12 기타 상품 및 서비스,바텀업,125.30856348800003,124.98,0.32856348800002877,0.26289285325654405
2025-08,01 식료품 및 비주류음료,탑다운,127.37502504513537,128.96,-1.5849749548646344,-1.2290438545786555
2025-08,02 주류 및 담배,탑다운,104.83862725934773,104.91,-0.07137274065226507,-0.06803235216115248
2025-08,03 의류 및 신발,탑다운,116.5373963940198,116.48,0.05739639401978991,0.04927575036039655
2025-08,"04 주택, 수도, 전기 및 연료",탑다운,115.7407627010563,115.37,0.37076270105629305,0.3213683809103693
2025-08,05 가정용품 및 가사 서비스,탑다운,119.71566573187792,119.67,0.04566573187791789,0.038159715783335754
2025-08,06 보건,탑다운,105.54829390423377,105.56,-0.011706095766228941,-0.011089518535646969
2025-08,07 교통,탑다운,115.77495321749416,116.27,-0.4950467825058382,-0.425773443283597
2025-08,08 통신,탑다운,101.38331390437061,87.87,13.513313904370605,15.378757146205308
2025-08,09 오락 및 문화,탑다운,110.40235493288688,110.38,0.02235493288688417,0.020252702379855204
2025-08,10 교육,탑다운,109.03089333353695,108.93,0.10089333353694485,0.09262217344803529
2025-08,11 음식 및 숙박,탑다운,125.41946773207697,125.46,-0.040532267923026666,-0.0323069248549551
2025-08,12 기타 상품 및 서비스,탑다운,125.19345040020474,124.93,0.2634504002047322,0.2108784120745475
2025-08,01 식료품 및 비주류음료,바텀업,127.41916663214039,128.96,-1.5408333678596193,-1.1948149564668264
2025-08,02 주류 및 담배,바텀업,104.9513365541616,104.91,0.04133655416160309,0.03940191989476989
2025-08,03 의류 및 신발,바텀업,116.42422610269062,116.48,-0.055773897309379095,-0.0478828101900576
2025-08,"04 주택, 수도, 전기 및 연료",바텀업,115.02562616968393,115.37,-0.3443738303160728,-0.29849512899026853
2025-08,05 가정용품 및 가사 서비스,바텀업,119.671461313263,119.67,0.001461313262993258,0.0012211191301021624
2025-08,06 보건,바텀업,105.91021300487273,105.56,0.3502130048727281,0.33176677233111795
2025-08,07 교통,바텀업,116.18693789502736,116.27,-0.08306210497264033,-0.07143898251710702
2025-08,08 통신,바텀업,101.24676321283695,87.87,13.376763212836948,15.223356336448102
2025-08,09 오락 및 문화,바텀업,110.90741359335797,110.38,0.5274135933579771,0.47781626504618324
2025-08,10 교육,바텀업,109.35914098227991,108.93,0.42914098227990394,0.3939603252363021
2025-08,11 음식 및 숙박,바텀업,125.39630305591223,125.46,-0.06369694408776638,-0.050770719024204033
2025-08,12 기타 상품 및 서비스,바텀업,125.18661604801677,124.93,0.25661604801676674,0.20540786681883194
2025-09,01 식료품 및 비주류음료,탑다운,130.53721687445736,128.82,1.717216874457364,1.3330359217958112
2025-09,02 주류 및 담배,탑다운,104.77815438887873,105.05,-0.2718456111212646,-0.25877735470848606
2025-09,03 의류 및 신발,탑다운,116.56197471376709,116.48,0.08197471376708165,0.07037664300058522
2025-09,"04 주택, 수도, 전기 및 연료",탑다운,116.87050018360941,116.71,0.16050018360941465,0.13752050690550482
2025-09,05 가정용품 및 가사 서비스,탑다운,119.8697291857985,118.69,1.1797291857985073,0.9939583670052299
2025-09,06 보건,탑다운,105.57084500626577,105.49,0.08084500626577551,0.0766376019203484
2025-09,07 교통,탑다운,115.962572958103,115.21,0.7525729581030021,0.6532184342531049
2025-09,08 통신,탑다운,94.85653679614886,101.38,-6.523463203851136,-6.4346648292080655
2025-09,09 오락 및 문화,탑다운,109.78325184328295,109.58,0.2032518432829562,0.1854826093109657
2025-09,10 교육,탑다운,108.76484401726734,108.61,0.15484401726733665,0.1425688401319737
2025-09,11 음식 및 숙박,탑다운,125.15259663792196,125.05,0.1025966379219625,0.08204449254055378
2025-09,12 기타 상품 및 서비스,탑다운,125.53601552786314,125.17,0.36601552786314073,0.29241473824649733
